type,name,file,size_px,background
product,Apple,products/Apple.png,512x512,transparent
product,Atta,products/Atta.png,512x512,transparent
product,BabyDiapers,products/BabyDiapers.png,512x512,transparent
product,Banana,products/Banana.png,512x512,transparent
product,Besan,products/Besan.png,512x512,transparent
product,Biscuits,products/Biscuits.png,512x512,transparent
product,BlackPepper,products/BlackPepper.png,512x512,transparent
product,BottledWater,products/BottledWater.png,512x512,transparent
product,Bread,products/Bread.png,512x512,transparent
product,Brinjal,products/Brinjal.png,512x512,transparent
product,Butter,products/Butter.png,512x512,transparent
product,Cabbage,products/Cabbage.png,512x512,transparent
product,Candles,products/Candles.png,512x512,transparent
product,Capsicum,products/Capsicum.png,512x512,transparent
product,Carrot,products/Carrot.png,512x512,transparent
product,Cauliflower,products/Cauliflower.png,512x512,transparent
product,ChanaDal,products/ChanaDal.png,512x512,transparent
product,Cheese,products/Cheese.png,512x512,transparent
product,Chickpeas,products/Chickpeas.png,512x512,transparent
product,ChiliPowder,products/ChiliPowder.png,512x512,transparent
product,Chips,products/Chips.png,512x512,transparent
product,Chocolate,products/Chocolate.png,512x512,transparent
product,Coffee,products/Coffee.png,512x512,transparent
product,Cookies,products/Cookies.png,512x512,transparent
product,CookingOil,products/CookingOil.png,512x512,transparent
product,CorianderPowder,products/CorianderPowder.png,512x512,transparent
product,CornFlour,products/CornFlour.png,512x512,transparent
product,Cornflakes,products/Cornflakes.png,512x512,transparent
product,Cucumber,products/Cucumber.png,512x512,transparent
product,Cumin,products/Cumin.png,512x512,transparent
product,Curd,products/Curd.png,512x512,transparent
product,DetergentPowder,products/DetergentPowder.png,512x512,transparent
product,DishwashLiquid,products/DishwashLiquid.png,512x512,transparent
product,Eggs,products/Eggs.png,512x512,transparent
product,FloorCleaner,products/FloorCleaner.png,512x512,transparent
product,FruitJuice,products/FruitJuice.png,512x512,transparent
product,GaramMasala,products/GaramMasala.png,512x512,transparent
product,GarbageBags,products/GarbageBags.png,512x512,transparent
product,Garlic,products/Garlic.png,512x512,transparent
product,Ghee,products/Ghee.png,512x512,transparent
product,Ginger,products/Ginger.png,512x512,transparent
product,Grapes,products/Grapes.png,512x512,transparent
product,GreenChili,products/GreenChili.png,512x512,transparent
product,GreenPeas,products/GreenPeas.png,512x512,transparent
product,Groundnuts,products/Groundnuts.png,512x512,transparent
product,Guava,products/Guava.png,512x512,transparent
product,Handwash,products/Handwash.png,512x512,transparent
product,Honey,products/Honey.png,512x512,transparent
product,Jam,products/Jam.png,512x512,transparent
product,Ketchup,products/Ketchup.png,512x512,transparent
product,KidneyBeans,products/KidneyBeans.png,512x512,transparent
product,Maida,products/Maida.png,512x512,transparent
product,Mango,products/Mango.png,512x512,transparent
product,MasoorDal,products/MasoorDal.png,512x512,transparent
product,Matchbox,products/Matchbox.png,512x512,transparent
product,Milk,products/Milk.png,512x512,transparent
product,MoongDal,products/MoongDal.png,512x512,transparent
product,MosquitoRepellent,products/MosquitoRepellent.png,512x512,transparent
product,MustardOil,products/MustardOil.png,512x512,transparent
product,MustardSeeds,products/MustardSeeds.png,512x512,transparent
product,Namkeen,products/Namkeen.png,512x512,transparent
product,Noodles,products/Noodles.png,512x512,transparent
product,Oats,products/Oats.png,512x512,transparent
product,Okra,products/Okra.png,512x512,transparent
product,Onion,products/Onion.png,512x512,transparent
product,Orange,products/Orange.png,512x512,transparent
product,Paneer,products/Paneer.png,512x512,transparent
product,Papaya,products/Papaya.png,512x512,transparent
product,Pasta,products/Pasta.png,512x512,transparent
product,Pickle,products/Pickle.png,512x512,transparent
product,Poha,products/Poha.png,512x512,transparent
product,Pomegranate,products/Pomegranate.png,512x512,transparent
product,Potato,products/Potato.png,512x512,transparent
product,Rice,products/Rice.png,512x512,transparent
product,Salt,products/Salt.png,512x512,transparent
product,SanitaryPads,products/SanitaryPads.png,512x512,transparent
product,Sanitizer,products/Sanitizer.png,512x512,transparent
product,Semolina,products/Semolina.png,512x512,transparent
product,Shampoo,products/Shampoo.png,512x512,transparent
product,Soap,products/Soap.png,512x512,transparent
product,SoftDrink,products/SoftDrink.png,512x512,transparent
product,Spinach,products/Spinach.png,512x512,transparent
product,Sugar,products/Sugar.png,512x512,transparent
product,SunflowerOil,products/SunflowerOil.png,512x512,transparent
product,Tea,products/Tea.png,512x512,transparent
product,TissueRoll,products/TissueRoll.png,512x512,transparent
product,ToiletCleaner,products/ToiletCleaner.png,512x512,transparent
product,Tomato,products/Tomato.png,512x512,transparent
product,ToorDal,products/ToorDal.png,512x512,transparent
product,Toothbrush,products/Toothbrush.png,512x512,transparent
product,Toothpaste,products/Toothpaste.png,512x512,transparent
